Quebra;Quebra2;Empenho;Ano Empenho;Fundo;Descrição Fundo;Data;Credor;Nome Credor;Docto Credor;Ficha;Nº Contrato;Ano Contrato;Dotação;Órgão;Unidade;Função;SubFunção;Programa;Ação;Natureza;Categoria;Grupo da Despesa;Modalidade Aplicação;Elemento Despesa;Fonte;Aplicação;SubElemento;Atuação;Cód Conta;Conta;Projeto;Empenho;Estorno;Anulado;Não processado;Processado;Valor OP;OP Baixada;Saldo a pagar;Processo;Licitação;Tipo Licitação;Histórico
;;473;2019;;;02/01/2019;34651;Rise Comercio Comunicacao E Eventos Eireli - Epp; CNPJ 08.618.261/0001-81;1127;;;70.01.3.3.90.39.13.122.0071.2.193.01;70;1;13;122;71;2193;339039;3;3;90;39;1;110000;22;Fornecedor;252;07.400-4 - C/ MOVIMENTO;7018;12030;0;0;0;12030;12030;12030;0;46637/2017;mar/18;28 - PREGÃO PRESENCIAL.;
;;504;2019;;;02/01/2019;651;Empresa Brasileira De Correios E Telegrafos; CNPJ 34.028.316/0001-03;1127;;;70.01.3.3.90.39.13.122.0071.2.193.01;70;1;13;122;71;2193;339039;3;3;90;39;1;110000;47;Fornecedor;252;07.400-4 - C/ MOVIMENTO;7108;1242,87;0;0;0;1242,87;1242,87;1242,87;0;1568/2014;/;0 - DISPENSA - INC.XII  - ART.24;
;;507;2019;;;02/01/2019;10792;Telefonica Brasil Sa; CNPJ 02.558.157/0001-62;1127;;;70.01.3.3.90.39.13.122.0071.2.193.01;70;1;13;122;71;2193;339039;3;3;90;39;1;110000;58;Fornecedor;252;07.400-4 - C/ MOVIMENTO;7108;7500;778,5;6721,5;0;0;0;0;0;2782/2013;77/2013;28 - PREGÃO PRESENCIAL.;
;;508;2019;;;02/01/2019;1315;Cooperativa Paulista De Teatro; CNPJ 51.561.819/0001-69;1144;;;70.10.3.3.90.39.13.392.0072.2.189.01;70;10;13;392;72;2189;339039;3;3;90;39;1;110000;99;Fornecedor;252;07.400-4 - C/ MOVIMENTO;7058;46999,65;0;0;0;46999,65;46999,65;46999,65;0;38768/2013;out/14;28 - PREGÃO PRESENCIAL.;
;;509;2019;;;02/01/2019;22440;Gasball Armazenadora E Distribuidora Ltda; CNPJ 02.430.968/0001-83;1121;;;70.01.3.3.90.30.13.122.0071.2.193.01;70;1;13;122;71;2193;339030;3;3;90;30;1;110000;4;Fornecedor;252;07.400-4 - C/ MOVIMENTO;7108;1360;1190;0;0;170;170;170;0;2198/2018;512/2018;1 - CARTA CONVITE;
;;510;2019;;;02/01/2019;20448;Digital Locacao E Comercio De Equipamentos De Impressao Ltda ; CNPJ 05.548.134/0001-65;1127;;;70.01.3.3.90.39.13.122.0071.2.193.01;70;1;13;122;71;2193;339039;3;3;90;39;1;110000;12;Fornecedor;252;07.400-4 - C/ MOVIMENTO;7108;542,52;0;0;0;542,52;542,52;542,52;0;2782/2013;77/2013;28 - PREGÃO PRESENCIAL.;
;;511;2019;;;02/01/2019;31757;D.C. Distribuicao E Comercio De Produtos Eireli - Me; CNPJ 04.910.736/0001-58;1136;;;70.10.3.3.90.30.13.392.0072.2.189.01;70;10;13;392;72;2189;339030;3;3;90;30;1;110000;7;Fornecedor;252;07.400-4 - C/ MOVIMENTO;7058;385,2;385,2;0;0;0;0;0;0;27012/2018;83/2018;1 - CARTA CONVITE;
;;512;2019;;;02/01/2019;31757;D.C. Distribuicao E Comercio De Produtos Eireli - Me; CNPJ 04.910.736/0001-58;1136;;;70.10.3.3.90.30.13.392.0072.2.189.01;70;10;13;392;72;2189;339030;3;3;90;30;1;110000;7;Fornecedor;252;07.400-4 - C/ MOVIMENTO;7076;192,6;192,6;0;0;0;0;0;0;27012/2018;83/2018;1 - CARTA CONVITE;
;;513;2019;;;02/01/2019;31757;D.C. Distribuicao E Comercio De Produtos Eireli - Me; CNPJ 04.910.736/0001-58;1136;;;70.10.3.3.90.30.13.392.0072.2.189.01;70;10;13;392;72;2189;339030;3;3;90;30;1;110000;7;Fornecedor;252;07.400-4 - C/ MOVIMENTO;7006;684,8;684,8;0;0;0;0;0;0;27012/2018;83/2018;1 - CARTA CONVITE;
;;514;2019;;;02/01/2019;31757;D.C. Distribuicao E Comercio De Produtos Eireli - Me; CNPJ 04.910.736/0001-58;1121;;;70.01.3.3.90.30.13.122.0071.2.193.01;70;1;13;122;71;2193;339030;3;3;90;30;1;110000;7;Fornecedor;252;07.400-4 - C/ MOVIMENTO;7108;791,8;791,8;0;0;0;0;0;0;27012/2018;83/2018;1 - CARTA CONVITE;
;;515;2019;;;02/01/2019;31757;D.C. Distribuicao E Comercio De Produtos Eireli - Me; CNPJ 04.910.736/0001-58;1136;;;70.10.3.3.90.30.13.392.0072.2.189.01;70;10;13;392;72;2189;339030;3;3;90;30;1;110000;7;Fornecedor;252;07.400-4 - C/ MOVIMENTO;7075;385,2;385,2;0;0;0;0;0;0;27012/2018;83/2018;1 - CARTA CONVITE;
;;517;2019;;;02/01/2019;31757;D.C. Distribuicao E Comercio De Produtos Eireli - Me; CNPJ 04.910.736/0001-58;1136;;;70.10.3.3.90.30.13.392.0072.2.189.01;70;10;13;392;72;2189;339030;3;3;90;30;1;110000;7;Fornecedor;252;07.400-4 - C/ MOVIMENTO;7086;299,6;299,6;0;0;0;0;0;0;27012/2018;83/2018;1 - CARTA CONVITE;
;;518;2019;;;02/01/2019;31757;D.C. Distribuicao E Comercio De Produtos Eireli - Me; CNPJ 04.910.736/0001-58;1136;;;70.10.3.3.90.30.13.392.0072.2.189.01;70;10;13;392;72;2189;339030;3;3;90;30;1;110000;7;Fornecedor;252;07.400-4 - C/ MOVIMENTO;7031;684,8;684,8;0;0;0;0;0;0;27012/2018;83/2018;1 - CARTA CONVITE;
;;519;2019;;;02/01/2019;31757;D.C. Distribuicao E Comercio De Produtos Eireli - Me; CNPJ 04.910.736/0001-58;1136;;;70.10.3.3.90.30.13.392.0072.2.189.01;70;10;13;392;72;2189;339030;3;3;90;30;1;110000;7;Fornecedor;252;07.400-4 - C/ MOVIMENTO;7017;599,2;599,2;0;0;0;0;0;0;27012/2018;83/2018;1 - CARTA CONVITE;
;;666;2019;;;02/01/2019;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;451;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;10446,05;0;0;0;10446,05;10446,05;10446,05;0;24/2019;/;11 - FOLHA DE PAGAMENTO;
;;667;2019;;;02/01/2019;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;452;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;2637,1;0;0;0;2637,1;2637,1;2637,1;0;24/2019;/;11 - FOLHA DE PAGAMENTO;
;;668;2019;;;02/01/2019;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;993;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;81,46;0;0;0;81,46;81,46;81,46;0;24/2019;/;11 - FOLHA DE PAGAMENTO;
;;925;2019;;;02/01/2019;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;11;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;143010,35;0;0;0;143010,35;143010,35;143010,35;0;24/2019;/;11 - FOLHA DE PAGAMENTO;
;;926;2019;;;02/01/2019;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;13;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;35773,79;0;0;0;35773,79;35773,79;35773,79;0;24/2019;/;11 - FOLHA DE PAGAMENTO;
;;927;2019;;;02/01/2019;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;331;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;52542,55;0;0;0;52542,55;52542,55;52542,55;0;24/2019;/;11 - FOLHA DE PAGAMENTO;
;;928;2019;;;02/01/2019;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;333;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;1669,47;0;0;0;1669,47;1669,47;1669,47;0;24/2019;/;11 - FOLHA DE PAGAMENTO;
;;929;2019;;;02/01/2019;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;371;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;82589,29;0;0;0;82589,29;82589,29;82589,29;0;24/2019;/;11 - FOLHA DE PAGAMENTO;
;;930;2019;;;02/01/2019;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;373;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;3800,95;0;0;0;3800,95;3800,95;3800,95;0;24/2019;/;11 - FOLHA DE PAGAMENTO;
;;1397;2019;;;02/01/2019;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;451;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;4156,55;0;0;0;4156,55;4156,55;4156,55;0;25/2019;/;11 - FOLHA DE PAGAMENTO;
;;1672;2019;;;22/01/2019;8699;Orquestra Sinfonica Jovem Municipal De Santo Andre;;1139;;;70.10.3.3.90.36.13.122.0072.2.191.01;70;10;13;122;72;2191;339036;3;3;90;36;1;110000;99;Auxilio Financeiro;252;07.400-4 - C/ MOVIMENTO;7026;132596,51;0;0;0;132596,51;132596,51;132596,51;0;49529/2018;/;24 - OUTROS;
;;2105;2019;;;29/01/2019;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;11;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;9497,71;0;0;0;9497,71;9497,71;9497,71;0;25/2019;/;11 - FOLHA DE PAGAMENTO;
;;2106;2019;;;29/01/2019;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;47;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;17004,77;0;0;0;17004,77;17004,77;17004,77;0;25/2019;/;11 - FOLHA DE PAGAMENTO;
;;2107;2019;;;29/01/2019;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;371;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;203,68;0;0;0;203,68;203,68;203,68;0;25/2019;/;11 - FOLHA DE PAGAMENTO;
;;2108;2019;;;29/01/2019;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;431;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;419,86;0;0;0;419,86;419,86;419,86;0;25/2019;/;11 - FOLHA DE PAGAMENTO;
;;2109;2019;;;29/01/2019;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;994;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;151,55;0;0;0;151,55;151,55;151,55;0;25/2019;/;11 - FOLHA DE PAGAMENTO;
;;2110;2019;;;29/01/2019;25577;Folha De Pagamento - Tesouro;;1119;;;70.01.3.1.90.16.13.122.0071.2.192.01;70;1;13;122;71;2192;319016;3;1;90;16;1;110000;44;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;42,52;0;0;0;42,52;42,52;42,52;0;25/2019;/;11 - FOLHA DE PAGAMENTO;
;;2152;2019;;;30/01/2019;34651;Rise Comercio Comunicacao E Eventos Eireli - Epp; CNPJ 08.618.261/0001-81;1148;;;70.80.3.3.90.39.27.813.0073.2.194.01;70;80;27;813;73;2194;339039;3;3;90;39;1;110000;22;Fornecedor;252;07.400-4 - C/ MOVIMENTO;7083;16100;0;0;0;16100;16100;16100;0;46637/2017;mar/18;28 - PREGÃO PRESENCIAL.;
;;3014;2019;;;30/01/2019;25577;Folha De Pagamento - Tesouro;;1116;;;70.01.3.1.90.04.13.122.0071.2.192.01;70;1;13;122;71;2192;319004;3;1;90;4;1;110000;3;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;613,47;0;0;0;613,47;613,47;613,47;0;25/2019;/;11 - FOLHA DE PAGAMENTO;
;;3015;2019;;;30/01/2019;25577;Folha De Pagamento - Tesouro;;1116;;;70.01.3.1.90.04.13.122.0071.2.192.01;70;1;13;122;71;2192;319004;3;1;90;4;1;110000;991;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;11588,3;0;0;0;11588,3;11588,3;11588,3;0;25/2019;/;11 - FOLHA DE PAGAMENTO;
;;3016;2019;;;30/01/2019;25577;Folha De Pagamento - Tesouro;;1116;;;70.01.3.1.90.04.13.122.0071.2.192.01;70;1;13;122;71;2192;319004;3;1;90;4;1;110000;992;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;1962,73;0;0;0;1962,73;1962,73;1962,73;0;25/2019;/;11 - FOLHA DE PAGAMENTO;
;;3017;2019;;;30/01/2019;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;11;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;146876,52;0;0;0;146876,52;146876,52;146876,52;0;25/2019;/;11 - FOLHA DE PAGAMENTO;
;;3018;2019;;;30/01/2019;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;12;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;73786,37;0;0;0;73786,37;73786,37;73786,37;0;25/2019;/;11 - FOLHA DE PAGAMENTO;
;;3019;2019;;;30/01/2019;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;13;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;37868,97;0;0;0;37868,97;37868,97;37868,97;0;25/2019;/;11 - FOLHA DE PAGAMENTO;
;;3020;2019;;;30/01/2019;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;14;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;15606,06;0;0;0;15606,06;15606,06;15606,06;0;25/2019;/;11 - FOLHA DE PAGAMENTO;
;;3021;2019;;;30/01/2019;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;47;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;11420,25;0;0;0;11420,25;11420,25;11420,25;0;25/2019;/;11 - FOLHA DE PAGAMENTO;
;;3022;2019;;;30/01/2019;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;331;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;51620,17;0;0;0;51620,17;51620,17;51620,17;0;25/2019;/;11 - FOLHA DE PAGAMENTO;
;;3023;2019;;;30/01/2019;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;332;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;31209,44;0;0;0;31209,44;31209,44;31209,44;0;25/2019;/;11 - FOLHA DE PAGAMENTO;
;;3024;2019;;;30/01/2019;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;333;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;2611,47;0;0;0;2611,47;2611,47;2611,47;0;25/2019;/;11 - FOLHA DE PAGAMENTO;
;;3025;2019;;;30/01/2019;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;371;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;85452,14;0;0;0;85452,14;85452,14;85452,14;0;25/2019;/;11 - FOLHA DE PAGAMENTO;
;;3026;2019;;;30/01/2019;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;372;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;47064,58;0;0;0;47064,58;47064,58;47064,58;0;25/2019;/;11 - FOLHA DE PAGAMENTO;
;;3027;2019;;;30/01/2019;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;373;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;2889,67;0;0;0;2889,67;2889,67;2889,67;0;25/2019;/;11 - FOLHA DE PAGAMENTO;
;;3028;2019;;;30/01/2019;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;374;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;3055,96;0;0;0;3055,96;3055,96;3055,96;0;25/2019;/;11 - FOLHA DE PAGAMENTO;
;;3029;2019;;;30/01/2019;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;431;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;28811,18;0;0;0;28811,18;28811,18;28811,18;0;25/2019;/;11 - FOLHA DE PAGAMENTO;
;;3030;2019;;;30/01/2019;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;451;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;17910,67;0;0;0;17910,67;17910,67;17910,67;0;25/2019;/;11 - FOLHA DE PAGAMENTO;
;;3031;2019;;;30/01/2019;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;452;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;244,19;0;0;0;244,19;244,19;244,19;0;25/2019;/;11 - FOLHA DE PAGAMENTO;
;;3032;2019;;;30/01/2019;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;605;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;12969,35;0;0;0;12969,35;12969,35;12969,35;0;25/2019;/;11 - FOLHA DE PAGAMENTO;
